timestamp,PIR,FOTORES,OCCUPIED?
2020-11-05 10:44:22.709343,0,1,0
2020-11-05 10:44:23.710708,0,1,0
2020-11-05 10:44:24.712030,0,1,0
2020-11-05 10:44:25.713338,0,1,0
2020-11-05 10:44:26.714698,0,1,0
2020-11-05 10:44:27.716062,0,1,0
2020-11-05 10:44:28.717423,0,1,0
2020-11-05 10:44:29.718777,0,1,0
2020-11-05 10:44:30.720096,0,1,0
2020-11-05 10:44:31.721468,0,1,0
2020-11-05 10:44:32.722835,0,1,0
2020-11-05 10:44:33.724203,0,1,0
2020-11-05 10:44:34.725528,0,1,0
2020-11-05 10:44:35.726898,0,1,0
2020-11-05 10:44:36.728232,0,1,0
2020-11-05 10:44:37.729559,0,1,0
2020-11-05 10:44:38.730923,0,1,0
2020-11-05 10:44:39.732246,0,1,0
2020-11-05 10:44:40.733589,0,1,0
2020-11-05 10:44:41.734965,0,1,0
2020-11-05 10:44:42.736329,0,1,0
2020-11-05 10:44:43.737660,0,1,0
2020-11-05 10:44:44.739025,0,1,0
2020-11-05 10:44:45.740386,0,1,0
2020-11-05 10:44:46.741722,0,1,0
2020-11-05 10:44:47.743080,0,1,0
2020-11-05 10:44:48.744433,0,1,0
2020-11-05 10:44:49.745804,0,1,0
2020-11-05 10:44:50.747141,0,1,0
2020-11-05 10:44:51.748509,0,1,0
2020-11-05 10:44:52.749844,0,1,0
2020-11-05 10:44:53.751213,0,1,0
2020-11-05 10:44:54.752537,0,1,0
2020-11-05 10:44:55.753875,0,1,0
2020-11-05 10:44:56.755209,0,1,0
2020-11-05 10:44:57.756532,0,1,0
2020-11-05 10:44:58.757839,0,1,0
2020-11-05 10:44:59.759158,0,1,0
2020-11-05 10:45:00.760491,0,1,0
2020-11-05 10:45:01.761823,0,1,0
2020-11-05 10:45:02.763146,0,1,0
2020-11-05 10:45:03.764480,0,1,0
2020-11-05 10:45:04.765803,0,1,0
2020-11-05 10:45:05.767132,0,1,0
2020-11-05 10:45:06.768465,0,1,0
2020-11-05 10:45:07.769798,0,1,0
2020-11-05 10:45:08.771131,0,1,0
2020-11-05 10:45:09.772460,0,1,0
2020-11-05 10:45:10.773796,0,1,0
2020-11-05 10:45:11.775138,0,1,0
2020-11-05 10:45:12.776473,0,1,0
2020-11-05 10:45:13.777797,0,1,0
2020-11-05 10:45:14.779117,0,1,0
2020-11-05 10:45:15.780418,0,1,0
2020-11-05 10:45:16.781731,0,1,0
2020-11-05 10:45:17.783057,0,1,0
2020-11-05 10:45:18.784388,0,1,0
2020-11-05 10:45:19.785718,0,1,0
2020-11-05 10:45:20.787048,0,1,0
2020-11-05 10:45:21.787888,0,1,0
